2022-12-24 20:34:04.250837 ; Session        ; Debug       ; Session log loaded as 'D:\Program_Project\Git\SentioDev\Examples-OpenTAP\MyOpenTapMain\bin\Debug\SessionLogs\editor 2022-12-24 20-34-01.txt'. [16.6 ms]
2022-12-24 20:34:04.302839 ; Session        ; Debug       ; Running '"D:\Program_Project\Git\SentioDev\Examples-OpenTAP\MyOpenTapMain\bin\Debug\editor.exe" ' in 'D:\Program_Project\Git\SentioDev\Examples-OpenTAP\MyOpenTapMain\bin\Debug'.
2022-12-24 20:34:04.656839 ; Session        ; Debug       ; Microsoft Windows 10.0.19044 X64
2022-12-24 20:34:04.656839 ; Session        ; Debug       ; .NET Framework 4.8.4420.0
2022-12-24 20:34:04.674839 ; Session        ; Debug       ; OpenTAP Engine 9.18.5+0328e9b4 X64
2022-12-24 20:34:04.882837 ; AssemblyFinder ; Debug       ; Found 29/93 assembly files. [51.1 ms]
2022-12-24 20:34:04.996838 ; Resolver       ; Debug       ; Found match for Keysight.OpenTap.Wpf, Version=9.5.0.0, Culture=neutral, PublicKeyToken=null in D:\Program_Project\Git\SentioDev\Examples-OpenTAP\MyOpenTapMain\bin\Debug\Packages\WPF Controls\Keysight.OpenTap.Wpf.dll
2022-12-24 20:34:05.067838 ; AssemblyFinder ; Debug       ; Found 29/93 assembly files. [77.7 ms]
2022-12-24 20:34:05.563838 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in D:\Program_Project\Git\SentioDev\Examples-OpenTAP\MyOpenTapMain\bin\Debug\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2022-12-24 20:34:05.746837 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in D:\Program_Project\Git\SentioDev\Examples-OpenTAP\MyOpenTapMain\bin\Debug\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2022-12-24 20:34:06.605838 ; Searcher       ; Debug       ; Ordered 27 assemblies according to references. [1.45 s]
2022-12-24 20:34:06.677840 ; PluginManager  ; Debug       ; Found 21 plugin assemblies containing 275 plugin types. [1.52 s]
2022-12-24 20:34:06.677840 ; PluginManager  ; Debug       ; Found version 9.18.5+0328e9b4  of OpenTap.dll
2022-12-24 20:34:06.678838 ; PluginManager  ; Debug       ; Found version 9.18.5+0328e9b4  of OpenTap.Package.dll
2022-12-24 20:34:06.678838 ; PluginManager  ; Debug       ; Found version 1.1.0            of Keysight.OpenTap.Licensing.dll
