2022-12-25 08:47:17.660518 ; Session        ; Debug       ; Session log loaded as 'D:\Program_Project\Git\SentioDev\Examples-OpenTAP\MyOpenTapMain\bin\Debug\SessionLogs\editor 2022-12-25 08-47-14.txt'. [18.6 ms]
2022-12-25 08:47:17.726516 ; Session        ; Debug       ; Running '"D:\Program_Project\Git\SentioDev\Examples-OpenTAP\MyOpenTapMain\bin\Debug\editor.exe" ' in 'D:\Program_Project\Git\SentioDev\Examples-OpenTAP\MyOpenTapMain\bin\Debug'.
2022-12-25 08:47:18.378518 ; Session        ; Debug       ; Microsoft Windows 10.0.19044 X64
2022-12-25 08:47:18.378518 ; Session        ; Debug       ; .NET Framework 4.8.4420.0
2022-12-25 08:47:18.411519 ; Session        ; Debug       ; OpenTAP Engine 9.18.5+0328e9b4 X64
2022-12-25 08:47:18.611518 ; AssemblyFinder ; Debug       ; Found 29/93 assembly files. [41.9 ms]
2022-12-25 08:47:18.793517 ; Resolver       ; Debug       ; Found match for Keysight.OpenTap.Wpf, Version=9.5.0.0, Culture=neutral, PublicKeyToken=null in D:\Program_Project\Git\SentioDev\Examples-OpenTAP\MyOpenTapMain\bin\Debug\Packages\WPF Controls\Keysight.OpenTap.Wpf.dll
2022-12-25 08:47:20.620518 ; AssemblyFinder ; Debug       ; Found 29/93 assembly files. [51.5 ms]
2022-12-25 08:47:20.737519 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in D:\Program_Project\Git\SentioDev\Examples-OpenTAP\MyOpenTapMain\bin\Debug\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2022-12-25 08:47:20.872518 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in D:\Program_Project\Git\SentioDev\Examples-OpenTAP\MyOpenTapMain\bin\Debug\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2022-12-25 08:47:21.578518 ; Searcher       ; Debug       ; Ordered 27 assemblies according to references. [953 ms]
2022-12-25 08:47:21.672517 ; PluginManager  ; Debug       ; Found 21 plugin assemblies containing 275 plugin types. [1.04 s]
2022-12-25 08:47:21.673518 ; PluginManager  ; Debug       ; Found version 9.18.5+0328e9b4  of OpenTap.dll
2022-12-25 08:47:21.673518 ; PluginManager  ; Debug       ; Found version 9.18.5+0328e9b4  of OpenTap.Package.dll
2022-12-25 08:47:21.673518 ; PluginManager  ; Debug       ; Found version 1.1.0            of Keysight.OpenTap.Licensing.dll
2022-12-25 08:47:21.673518 ; PluginManager  ; Debug       ; Found version 9.18.5+0328e9b4  of OpenTap.Plugins.BasicSteps.dll
2022-12-25 08:47:21.673518 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of Keysight.OpenTap.Wpf.dll
2022-12-25 08:47:21.673518 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of PackageManager.exe
2022-12-25 08:47:21.673518 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of Editor.exe
2022-12-25 08:47:21.673518 ; PluginManager  ; Debug       ; Found version 0.1.0-Development of MyOpenTapShare.dll
2022-12-25 08:47:21.673518 ; PluginManager  ; Debug       ; Found version 0.1.0-Development of MyPluginChuck.dll
2022-12-25 08:47:21.673518 ; PluginManager  ; Debug       ; Found version 0.1.0-Development of MyPluginGen.dll
2022-12-25 08:47:21.673518 ; PluginManager  ; Debug       ; Found version 0.1.0-Development of MyPluginVision.dll
2022-12-25 08:47:21.673518 ; PluginManager  ; Debug       ; Found version 9.11.0+98498e58  of Csv.dll
2022-12-25 08:47:21.673518 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of ResultsViewer.exe
2022-12-25 08:47:21.673518 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of RunExplorer.exe
2022-12-25 08:47:21.673518 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of Keysight.OpenTap.CommunityEditionPopup.exe
2022-12-25 08:47:21.673518 ; PluginManager  ; Debug       ; Found version 1.0.0            of OpenTap.OSIntegration.Windows.dll
2022-12-25 08:47:21.673518 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.Sdk.New.dll
2022-12-25 08:47:21.673518 ; PluginManager  ; Debug       ; Found version 9.4.2+3009aace   of Keysight.OpenTap.Plugins.ResultListener.SqlDatabase.dll
2022-12-25 08:47:21.673518 ; PluginManager  ; Debug       ; Found version 9.4.2+3009aace   of Keysight.OpenTap.Plugins.ResultListener.PostgreSQL.dll
2022-12-25 08:47:21.673518 ; PluginManager  ; Debug       ; Found version 9.4.2+3009aace   of Keysight.OpenTap.Plugins.ResultListener.SQLite.dll
2022-12-25 08:47:21.673518 ; PluginManager  ; Debug       ; Found version 1.2.6+ef0ad804   of OpenTap.VSSdk.Installer.dll
2022-12-25 08:47:21.673518 ; PluginManager  ; Debug       ; Searched 29 Assemblies. [1.05 s]
2022-12-25 08:47:21.749516 ; AssemblyData   ; Debug       ; Loaded OpenTap. [387 us]
2022-12-25 08:47:21.757519 ; AssemblyData   ; Debug       ; Loaded Keysight.OpenTap.Wpf. [255 us]
2022-12-25 08:47:21.834518 ; AssemblyData   ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [82.0 ms]
2022-12-25 08:47:21.879517 ; AssemblyData   ; Debug       ; Loaded OpenTap.Package. [126 ms]
2022-12-25 08:47:22.023517 ; AssemblyData   ; Debug       ; Loaded OpenTap.OSIntegration.Windows. [56.6 ms]
2022-12-25 08:47:22.157517 ; AssemblyData   ; Debug       ; Loaded mscorlib. [600 ns]
2022-12-25 08:47:22.522516 ; Settings       ; Debug       ; EditorSettings loaded from D:\Program_Project\Git\SentioDev\Examples-OpenTAP\MyOpenTapMain\bin\Debug\Settings\Editor.xml [2.19 s]
2022-12-25 08:47:22.604516 ; Resolver       ; Debug       ; Found match for Keysight.Ccl.Wsl, Version=4.0.1.9, Culture=neutral, PublicKeyToken=55333af07c70062e in D:\Program_Project\Git\SentioDev\Examples-OpenTAP\MyOpenTapMain\bin\Debug\Dependencies\Keysight.Ccl.Wsl.4.0.1.9\Keysight.Ccl.Wsl.dll
2022-12-25 08:47:22.722517 ; Resolver       ; Debug       ; Found match for MahApps.Metro, Version=1.3.0.0, Culture=neutral, PublicKeyToken=f4fb5a3c4d1e5b4f in D:\Program_Project\Git\SentioDev\Examples-OpenTAP\MyOpenTapMain\bin\Debug\Dependencies\MahApps.Metro.1.3.0.0\MahApps.Metro.dll
2022-12-25 08:47:23.174518 ; GUI            ; Debug       ; Loaded Light Theme. [15.4 ms]
