2022-09-16 10:06:56.966898 ; Settings       ; Debug       ; GuiControlsSettings loaded from D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug\Settings\GUI Controls.xml [166 ms]
2022-09-16 10:06:56.966898 ; Main           ; Debug       ; Window initial dimensions: 1549px, 837px.
2022-09-16 10:06:57.017013 ; Settings       ; Debug       ; EngineSettings loaded from D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug\Settings\Engine.xml [48.2 ms]
2022-09-16 10:06:57.027466 ; Settings       ; Debug       ; No settings file exists for PackageManagerSettings. A new instance with default values has been created. [3.09 ms]
2022-09-16 10:06:57.031862 ; Resolver       ; Debug       ; Found match for Keysight.OpenTap.Licensing, Version=1.1.1.0, Culture=neutral, PublicKeyToken=null in D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug\Packages\Keysight Licensing\Keysight.OpenTap.Licensing.dll
2022-09-16 10:06:57.060853 ; Settings       ; Debug       ; No settings file exists for AuthenticationSettings. A new instance with default values has been created. [520 us]
2022-09-16 10:06:54.939824 ; Session        ; Debug       ; Session log loaded as 'D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug\SessionLogs\editor 2022-09-16 10-06-53.txt'. [5.55 ms]
2022-09-16 10:06:54.997027 ; Session        ; Debug       ; Running '"D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug\editor.exe" ' in 'D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug'.
2022-09-16 10:06:55.170342 ; Session        ; Debug       ; Microsoft Windows 10.0.19044 X64
2022-09-16 10:06:55.170841 ; Session        ; Debug       ; .NET Framework 4.8.4515.0
2022-09-16 10:06:55.240683 ; Session        ; Debug       ; OpenTAP Engine 9.18.5+0328e9b4 X64
2022-09-16 10:06:55.274686 ; AssemblyFinder ; Debug       ; Found 29/93 assembly files. [61.9 ms]
2022-09-16 10:06:55.298634 ; Resolver       ; Debug       ; Found match for Keysight.OpenTap.Wpf, Version=9.5.0.0, Culture=neutral, PublicKeyToken=null in D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug\Packages\WPF Controls\Keysight.OpenTap.Wpf.dll
