2022-09-16 09:53:32.401309 ; Session        ; Debug       ; Session log loaded as 'D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug\SessionLogs\editor 2022-09-16 09-53-30.txt'. [13.1 ms]
2022-09-16 09:53:32.485607 ; Session        ; Debug       ; Running '"D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug\editor.exe" ' in 'D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug'.
2022-09-16 09:53:32.849249 ; Session        ; Debug       ; Microsoft Windows 10.0.19044 X64
2022-09-16 09:53:32.849249 ; Session        ; Debug       ; .NET Framework 4.8.4515.0
2022-09-16 09:53:32.877836 ; Session        ; Debug       ; OpenTAP Engine 9.18.5+0328e9b4 X64
2022-09-16 09:53:32.918313 ; AssemblyFinder ; Debug       ; Found 29/93 assembly files. [65.2 ms]
2022-09-16 09:53:32.959443 ; Resolver       ; Debug       ; Found match for Keysight.OpenTap.Wpf, Version=9.5.0.0, Culture=neutral, PublicKeyToken=null in D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug\Packages\WPF Controls\Keysight.OpenTap.Wpf.dll
2022-09-16 09:53:32.962041 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2022-09-16 09:53:33.093333 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2022-09-16 09:53:33.658435 ; Searcher       ; Debug       ; Ordered 27 assemblies according to references. [726 ms]
2022-09-16 09:53:33.865755 ; PluginManager  ; Debug       ; Found 21 plugin assemblies containing 275 plugin types. [941 ms]
