2022-09-15 15:45:30.021504 ; Session        ; Debug       ; Session log loaded as 'D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug\SessionLogs\editor 2022-09-15 15-45-28.txt'. [10.1 ms]
2022-09-15 15:45:30.106605 ; Session        ; Debug       ; Running '"D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug\editor.exe" ' in 'D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug'.
2022-09-15 15:45:30.362798 ; Session        ; Debug       ; Microsoft Windows 10.0.19044 X64
2022-09-15 15:45:30.362798 ; Session        ; Debug       ; .NET Framework 4.8.4515.0
2022-09-15 15:45:30.401113 ; Session        ; Debug       ; OpenTAP Engine 9.18.5+0328e9b4 X64
2022-09-15 15:45:30.408113 ; AssemblyFinder ; Debug       ; Found 28/92 assembly files. [85.1 ms]
2022-09-15 15:45:30.448597 ; Resolver       ; Debug       ; Found match for Keysight.OpenTap.Wpf, Version=9.5.0.0, Culture=neutral, PublicKeyToken=null in D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug\Packages\WPF Controls\Keysight.OpenTap.Wpf.dll
2022-09-15 15:45:30.466513 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2022-09-15 15:45:30.658387 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2022-09-15 15:45:31.236763 ; Searcher       ; Debug       ; Ordered 26 assemblies according to references. [807 ms]
2022-09-15 15:45:31.427416 ; PluginManager  ; Debug       ; Found 20 plugin assemblies containing 273 plugin types. [1.01 s]
2022-09-15 15:45:31.429415 ; PluginManager  ; Debug       ; Found version 9.18.5+0328e9b4  of OpenTap.dll
2022-09-15 15:45:31.429415 ; PluginManager  ; Debug       ; Found version 9.18.5+0328e9b4  of OpenTap.Package.dll
